Nama_RS_BPJS,Kode_RS,Status_BPJS,Layanan_BPJS,Rumah_Sakit,Provinsi,Kab_Kota,Status_Sudah_BPJS
RS Akademis Jaury,7371052,Sudah kerjasama BPJS,Kemo,RS Akademis Jaury,Sulawesi Selatan,Kota Makassar,1
RSUP Dr. Wahidin Sudirohusodo,7371325,Sudah kerjasama BPJS,Kemo,RSUP Dr. Wahidin Sudirohusodo,Sulawesi Selatan,Kota Makassar,1
RS Universitas Hasanuddin,7371408,Sudah kerjasama BPJS,Kemo,RS Universitas Hasanuddin,Sulawesi Selatan,Kota Makassar,1
RS Siloam Makassar,7371402,Sudah kerjasama BPJS,Kemo,RS Siloam Makassar,Sulawesi Selatan,Kota Makassar,1
RS Hati Mulia Kendari,7471002,Sudah kerjasama BPJS,Kemo,RS Hati Mulia,Sulawesi Tenggara,Kota Kendari,1
RSUP Prof. DR. R. D. Kandou,7171013,Sudah kerjasama BPJS,Kemo,RSUP Prof. Dr. R. D. Kandou,Sulawesi Utara,Kota Manado,1
RSU Siloam Hospital Manado,7171099,Sudah kerjasama BPJS,Kemo,RS Umum Siloam Hospital Manado,Sulawesi Utara,Kota Manado,1
RS Sentra Medika Minahasa Utara,7106020,Sudah kerjasama BPJS,Kemo,Sentra Medika Hospital Minahasa Utara,Sulawesi Utara,Minahasa Utara,1
RSUD Undata Palu,7271014,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Undata Palu,Sulawesi Tengah,Kota Palu,1
RSUD Dr. H. Chasan Boesoirie Ternate,8271016,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Dr. H. Chasan Boesoirie Ternate,Maluku Utara,Kota Ternate,1
RSUD Prof Dr. H. Aloei Saboe,7571010,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Prof Dr. H. Aloei Saboe,Gorontalo,Kota Gorontalo,1
RS Siloam Bali,5103035,Sudah kerjasama BPJS,Kemo,RS Umum Siloam Bali,Bali,Badung,1
RSUD Mangusada,5103032,Sudah kerjasama BPJS,Kemo,RS Daerah Mangusada,Bali,Badung,1
RSUD Tabanan,5102010,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Tabanan,Bali,Tabanan,1
RSUP Prof. Dr. I.G.N.G. Ngoerah,5171016,Sudah kerjasama BPJS,Kemo,RSUP Prof. Dr. I.G.N.G. Ngoerah,Bali,Kota Denpasar,1
RSU Puri Raharja,5171133,Sudah kerjasama BPJS,Kemo,RS Umum Puri Raharja,Bali,Kota Denpasar,1
RSUD Bali Mandara Provinsi Bali,5171220,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Bali Mandara Provinsi Bali,Bali,Kota Denpasar,1
RSU Ganesha,5104034,Sudah kerjasama BPJS,Kemo,RS Umum Ganesha,Bali,Gianyar,1
RSUD Sanjiwani Gianyar,5104012,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Sanjiwani Gianyar,Bali,Gianyar,1
RSUD Prof. Dr. WZ Johanes,5371011,Sudah kerjasama BPJS,Kemo,RS Umum Prof. Dr. WZ Johanes,Nusa Tenggara Timur,Kota Kupang,1
RSU Provinsi NTB,5271010,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Provinsi NTB,Nusa Tenggara Barat,Kota Mataram,1
RSU Kertha Usada,5108031,Sudah kerjasama BPJS,Kemo,RS Umum Kertha Usadha,Bali,Buleleng,1
RS Grha Bakti Medika,5105017,Sudah kerjasama BPJS,Kemo,RS Umum Grha Bhakti Medika,Bali,Klungkung,1
RSUD Jayapura,9271012,Sudah kerjasama BPJS,Kemo,RS Umum Jayapura,Papua,Kota Jayapura,1
RS Umum Daerah TGK Chik Ditiro Sigli,1109016,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah TGK Chik Ditiro Sigli,Aceh,Pidie,1
RS Umum Cut Meutia Kab. Aceh Utara,1174016,Sudah kerjasama BPJS,Bedah Onko,RS Umum Cut Meutia Kab. Aceh Utara,Aceh,Aceh Utara,1
RS Umum Daerah Cut Nyak Dhien,1107014,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Cut Nyak Dhien,Aceh,Aceh Barat,1
RS Umum Daerah Dr. Zainoel Abidin,1171015,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah  Dr. Zainoel Abidin,Aceh,Kota Banda Aceh,1
RS Umum Mufid,1109028,Sudah kerjasama BPJS,Bedah Onko,RS Umum Mufid,Aceh,Pidie,1
RS Umum Meutia,1171145,Sudah kerjasama BPJS,Bedah Onko,RS Umum Meutia,Aceh,Kota Banda Aceh,1
RSUP Prof. Dr. I.G.N.G. Ngoerah,5171016,Sudah kerjasama BPJS,Bedah Onko,RSUP Prof. Dr. I.G.N.G. Ngoerah,Bali,Kota Denpasar,1
RS Umum Daerah Kab. Buleleng,5108016,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Kab. Buleleng,Bali,Buleleng,1
RS Daerah Mangusada,5103032,Sudah kerjasama BPJS,Bedah Onko,RS Daerah Mangusada,Bali,Badung,1
RS Umum Daerah Bangli,5106014,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Bangli,Bali,Bangli,1
RS Umum Daerah Sanjiwani Gianyar,5104012,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Sanjiwani Gianyar,Bali,Gianyar,1
RS Umum Daerah Bali Mandara Provinsi Bali,5171220,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Bali Mandara Provinsi Bali,Bali,Kota Denpasar,1
RS Umum Murni Teguh Tuban Bali,5103052,Sudah kerjasama BPJS,Bedah Onko,RS Umum Murni Teguh Tuban Bali,Bali,Badung,1
RS Umum Ganesha,5104034,Sudah kerjasama BPJS,Bedah Onko,RS Umum Ganesha,Bali,Gianyar,1
RS Umum Ari Canti,5104035,Sudah kerjasama BPJS,Bedah Onko,RS Umum Ari Canti,Bali,Gianyar,1
RS Umum Bintang,5105015,Sudah kerjasama BPJS,Bedah Onko,RS Umum Bintang,Bali,Klungkung,1
RS Balimed Buleleng,5108080,Sudah kerjasama BPJS,Bedah Onko,RS Balimed Buleleng,Bali,Buleleng,1
RS Umum Surya Husadha,5171086,Sudah kerjasama BPJS,Bedah Onko,RS Umum Surya Husadha,Bali,Kota Denpasar,1
RS Umum Balimed,5171203,Sudah kerjasama BPJS,Bedah Onko,RS Umum Balimed,Bali,Kota Denpasar,1
RS Umum Kertha Usadha,5108031,Sudah kerjasama BPJS,Bedah Onko,RS Umum Kertha Usadha,Bali,Buleleng,1
RS Umum Puri Raharja,5171133,Sudah kerjasama BPJS,Bedah Onko,RS Umum Puri Raharja,Bali,Kota Denpasar,1
RS TK. II Udayana,5171031,Sudah kerjasama BPJS,Bedah Onko,RS TK. II Udayana,Bali,Kota Denpasar,1
RS Umum Daerah Kabupaten Tangerang,3603010,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Kabupaten Tangerang,Banten,Tangerang,1
RS Primaya,3671203,Sudah kerjasama BPJS,Bedah Onko,RS Primaya,Banten,Kota Tangerang,1
RS Umum Hermina Tangerang,3671136,Sudah kerjasama BPJS,Bedah Onko,RS Umum Hermina Tangerang,Banten,Kota Tangerang,1
RS Murni Teguh Ciledug,3671126,Sudah kerjasama BPJS,Bedah Onko,RS Murni Teguh Ciledug,Banten,Kota Tangerang,1
RS Mayapada,3671080,Sudah kerjasama BPJS,Bedah Onko,RS Mayapada,Banten,Kota Tangerang,1
RS Siloam Hospitals Lippo Village,3671054,Sudah kerjasama BPJS,Bedah Onko,RS Siloam Hospitals Lippo Village,Banten,Tangerang,1
RS EMC Tangerang,3671065,Sudah kerjasama BPJS,Bedah Onko,RS EMC Tangerang,Banten,Kota Tangerang,1
RS Umum Daerah Dr. M. Yunus Bengkulu,1771014,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Dr. M. Yunus Bengkulu,Bengkulu,Kota Bengkulu,1
RS Akademik Universitas Gadjah Mada,3404189,Sudah kerjasama BPJS,Bedah Onko,RS Akademik Universitas Gadjah Mada,DI Yogyakarta,Sleman,1
RSUP Dr. Sardjito,3404015,Sudah kerjasama BPJS,Bedah Onko,RSUP Dr. Sardjito,DI Yogyakarta,Sleman,1
RS Umum Daerah Sleman,3404011,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Sleman,DI Yogyakarta,Sleman,1
RS Bethesda Yogyakarta,3471063,Sudah kerjasama BPJS,Bedah Onko,RS Bethesda Yogyakarta,DI Yogyakarta,Kota Yogyakarta,1
RS Umum Panti Rapih,3471052,Sudah kerjasama BPJS,Bedah Onko,RS Umum Panti Rapih,DI Yogyakarta,Kota Yogyakarta,1
RSPAU Dr. Suhardi Harjolukito,3471074,Sudah kerjasama BPJS,Bedah Onko,RSPAU Dr.  Suhardi Harjolukito,DI Yogyakarta,Bantul,1
RS Umum Pelni Petamburan,3174026,Sudah kerjasama BPJS,Bedah Onko,RS Umum Pelni Petamburan,DKI Jakarta,Kota Jakarta Barat,1
RSUPN Dr. Cipto Mangunkusumo,3173014,Sudah kerjasama BPJS,Bedah Onko,RSUPN Dr. Cipto Mangunkusumo,DKI Jakarta,Kota Jakarta Pusat,1
RSUP Fatmawati,3171012,Sudah kerjasama BPJS,Bedah Onko,RSUP Fatmawati,DKI Jakarta,Kota Jakarta Selatan,1
RSUP Persahabatan,3172013,Sudah kerjasama BPJS,Bedah Onko,RSUP Persahabatan,DKI Jakarta,Kota Jakarta Timur,1
RS Kanker Dharmais,3174063,Sudah kerjasama BPJS,Bedah Onko,RS Kanker Dharmais,DKI Jakarta,Kota Jakarta Barat,1
RS Umum Daerah Pasar Minggu,3171795,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Pasar Minggu,DKI Jakarta,Kota Jakarta Selatan,1
RS Umum Daerah Tarakan,3173521,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Tarakan,DKI Jakarta,Kota Jakarta Pusat,1
RS Umum Daerah Cengkareng,3174074,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Cengkareng,DKI Jakarta,Kota Jakarta Barat,1
RS Umum Daerah Koja,3175016,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Koja,DKI Jakarta,Kota Jakarta Utara,1
RS Umum Bhayangkara Tk. I R.Said Sukanto,3172072,Sudah kerjasama BPJS,Bedah Onko,RS Umum Bhayangkara Tk. I R.Said Sukanto,DKI Jakarta,Kota Jakarta Timur,1
RS Khusus Kanker MRCCC Siloam Semanggi,3171056,Sudah kerjasama BPJS,Bedah Onko,RS Khusus Kanker MRCCC Siloam Semanggi,DKI Jakarta,Kota Jakarta Selatan,1
RS Umum Tebet,3171461,Sudah kerjasama BPJS,Bedah Onko,RS Umum Tebet,DKI Jakarta,Kota Jakarta Selatan,1
RS Umum Mayapada,3171786,Sudah kerjasama BPJS,Bedah Onko,RS Umum Mayapada,DKI Jakarta,Kota Jakarta Selatan,1
RS Umum Harapan Bunda,3172553,Sudah kerjasama BPJS,Bedah Onko,RS Umum Harapan Bunda,DKI Jakarta,Kota Jakarta Timur,1
RS Umum Hermina Jatinegara,3172243,Sudah kerjasama BPJS,Bedah Onko,RS Umum Hermina Jatinegara,DKI Jakarta,Kota Jakarta Timur,1
RS Umum Premier Jatinegara,3172206,Sudah kerjasama BPJS,Bedah Onko,RS Umum Premier Jatinegara,DKI Jakarta,Kota Jakarta Timur,1
RS Umum Kramat 128,3173580,Sudah kerjasama BPJS,Bedah Onko,RS Umum Kramat 128,DKI Jakarta,Kota Jakarta Pusat,1
RS Umum Hermina Kemayoran,3173706,Sudah kerjasama BPJS,Bedah Onko,RS Umum Hermina Kemayoran,DKI Jakarta,Kota Jakarta Pusat,1
RS Umum Yarsi,3173712,Sudah kerjasama BPJS,Bedah Onko,RS Umum Yarsi,DKI Jakarta,Kota Jakarta Pusat,1
RS Umum Hermina Daan Mogot,3174431,Sudah kerjasama BPJS,Bedah Onko,RS Umum Hermina Daan Mogot,DKI Jakarta,Kota Jakarta Barat,1
RS Umum Gading Pluit,3175407,Sudah kerjasama BPJS,Bedah Onko,RS Umum Gading Pluit,DKI Jakarta,Kota Jakarta Utara,1
RS Islam Jakarta Cempaka Putih,3173073,Sudah kerjasama BPJS,Bedah Onko,RS Islam Jakarta Cempaka Putih,DKI Jakarta,Kota Jakarta Pusat,1
RS Primaya PGI Cikini,3173062,Sudah kerjasama BPJS,Bedah Onko,RS Primaya PGI Cikini,DKI Jakarta,Kota Jakarta Pusat,1
RS Umum Husada,3173040,Sudah kerjasama BPJS,Bedah Onko,RS Umum Husada,DKI Jakarta,Kota Jakarta Pusat,1
RS Umum Sint Carolus,3173051,Sudah kerjasama BPJS,Bedah Onko,RS Umum Sint Carolus,DKI Jakarta,Kota Jakarta Pusat,1
RS Umum PAD Gatot Soebroto,3173025,Sudah kerjasama BPJS,Bedah Onko,RS Umum PAD Gatot Soebroto,DKI Jakarta,Kota Jakarta Pusat,1
RS Umum AL Dr. Mintoharjo,3173036,Sudah kerjasama BPJS,Bedah Onko,RS Umum AL Dr. Mintoharjo,DKI Jakarta,Kota Jakarta Pusat,1
RS Umum AL Cilandak,3171034,Sudah kerjasama BPJS,Bedah Onko,RS Umum AL Cilandak,DKI Jakarta,Kota Jakarta Selatan,1
RS Umum Daerah Prof Dr. H. Aloei Saboe,7571010,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Prof Dr. H. Aloei Saboe,Gorontalo,Kota Gorontalo,1
RS Umum Daerah dr. Hasri Ainun Habibie,7502034,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah dr. Hasri Ainun Habibie,Gorontalo,Gorontalo,1
RS Umum Daerah H. Hanafie,1509013,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah H. Hanafie,Jambi,Bungo,1
RS Umum Daerah Raden Mattaher Jambi,1571012,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Raden Mattaher Jambi,Jambi,Kota Jambi,1
RS Bhayangkara Jambi,1571034,Sudah kerjasama BPJS,Bedah Onko,RS Bhayangkara Jambi,Jambi,Kota Jambi,1
RS Islam Arafah,1571159,Sudah kerjasama BPJS,Bedah Onko,RS Islam Arafah,Jambi,Kota Jambi,1
RS Umum Santa Theresia,1571045,Sudah kerjasama BPJS,Bedah Onko,RS Umum Santa Theresia,Jambi,Kota Jambi,1
RS Umum Pusat Dr. Hasan Sadikin,3273015,Sudah kerjasama BPJS,Bedah Onko,RS Umum Pusat Dr. Hasan Sadikin,Jawa Barat,Kota Bandung,1
RS Umum Daerah Singaparna Medika Citrautama,3206023,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Singaparna Medika Citrautama,Jawa Barat,Tasikmalaya,1
RS Umum Daerah Kota Bogor,3271104,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Kota Bogor,Jawa Barat,Kota Bogor,1
RS Umum Daerah Cibabat,3277020,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Cibabat,Jawa Barat,Kota Cimahi,1
RS Umum Daerah Ciawi,3201050,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Ciawi,Jawa Barat,Bogor,1
RS Umum Daerah Gunung Jati,3274016,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Gunung Jati,Jawa Barat,Kota Cirebon,1
RS Umum Daerah Al Ihsan Provinsi Jawa Barat,3204086,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Al Ihsan Provinsi Jawa Barat,Jawa Barat,Bandung,1
RS Umum Sentra Medika Cibinong,3201230,Sudah kerjasama BPJS,Bedah Onko,RS Umum Sentra Medika Cibinong,Jawa Barat,Bogor,1
RS Eka Hospital,3201258,Sudah kerjasama BPJS,Bedah Onko,RS Eka Hospital,Jawa Barat,Bogor,1
RS Umum Dadi Keluarga Ciamis,3207057,Sudah kerjasama BPJS,Bedah Onko,RS Umum Dadi Keluarga Ciamis,Jawa Barat,Ciamis,1
RS Umum Permata Cirebon,3209054,Sudah kerjasama BPJS,Bedah Onko,RS Umum Permata Cirebon,Jawa Barat,Cirebon,1
RS Umum Hermina Grand Wisata,3216318,Sudah kerjasama BPJS,Bedah Onko,RS Umum Hermina Grand Wisata,Jawa Barat,Bekasi,1
RS Eka Bekasi,3216450,Sudah kerjasama BPJS,Bedah Onko,RS Eka Bekasi,Jawa Barat,Bekasi,1
RS Umum Azra,3271072,Sudah kerjasama BPJS,Bedah Onko,RS Umum Azra,Jawa Barat,Kota Bogor,1
RS Umum Advent Bandung,3273085,Sudah kerjasama BPJS,Bedah Onko,RS Umum Advent Bandung,Jawa Barat,Kota Bandung,1
RS Umum Hermina Arcamanik,3273145,Sudah kerjasama BPJS,Bedah Onko,RS Umum Hermina Arcamanik,Jawa Barat,Kota Bandung,1
RS Umum Hermina Pasteur,3273539,Sudah kerjasama BPJS,Bedah Onko,RS Umum Hermina Pasteur ,Jawa Barat,Kota Bandung,1
RS Umum Santosa Hospital Bandung Kopo,3273542,Sudah kerjasama BPJS,Bedah Onko,RS Umum Santosa Hospital Bandung Kopo,Jawa Barat,Kota Bandung,1
RS Umum Putera Bahagia,3274064,Sudah kerjasama BPJS,Bedah Onko,RS Umum Putera Bahagia,Jawa Barat,Kota Cirebon,1
RS Umum Hermina Bekasi,3275115,Sudah kerjasama BPJS,Bedah Onko,RS Umum Hermina Bekasi,Jawa Barat,Kota Bekasi,1
RS PRIMAYA BEKASI BARAT,3275392,Sudah kerjasama BPJS,Bedah Onko,RS Primaya,Jawa Barat,Kota Bekasi,1
RS Umum Mitra Keluarga Bekasi Timur,3275046,Sudah kerjasama BPJS,Bedah Onko,RS Umum Mitra Keluarga Bekasi Timur,Jawa Barat,Kota Bekasi,1
RS Umum Hermina Depok,3201126,Sudah kerjasama BPJS,Bedah Onko,RS Umum Hermina Depok,Jawa Barat,Kota Depok,1
RS Umum Sentra Medika,3276017,Sudah kerjasama BPJS,Bedah Onko,RS Umum Sentra Medika,Jawa Barat,Kota Depok,1
RS Umum Kebonjati,3204041,Sudah kerjasama BPJS,Bedah Onko,RS Umum Kebonjati,Jawa Barat,Kota Bandung,1
RS Umum Santosa Hospital Bandung Central,3273486,Sudah kerjasama BPJS,Bedah Onko,RS Umum Santosa Hospital Bandung Central,Jawa Barat,Kota Bandung,1
RS Umum PMI Bogor,3271013,Sudah kerjasama BPJS,Bedah Onko,RS Umum PMI Bogor,Jawa Barat,Kota Bogor,1
RS Umum Mitra Plumbon,3209051,Sudah kerjasama BPJS,Bedah Onko,RS Umum Mitra Plumbon,Jawa Barat,Cirebon,1
RS Umum Jasa Kartini,3206070,Sudah kerjasama BPJS,Bedah Onko,RS Umum Jasa Kartini,Jawa Barat,Kota Tasikmalaya,1
RS Umum Tk. III Ciremai,3274020,Sudah kerjasama BPJS,Bedah Onko,RS Umum Tk. III Ciremai,Jawa Barat,Kota Cirebon,1
RS Umum Universitas Sebelas Maret,3311228,Sudah kerjasama BPJS,Bedah Onko,RS Umum Universitas Sebelas Maret,Jawa Tengah,Sukoharjo,1
RS Umum Nasional Diponegoro,3374367,Sudah kerjasama BPJS,Bedah Onko,RS Umum Nasional Diponegoro,Jawa Tengah,Kota Semarang,1
RS Umum Pusat Dr. Kariadi,3374010,Sudah kerjasama BPJS,Bedah Onko,RS Umum Pusat Dr. Kariadi,Jawa Tengah,Kota Semarang,1
RS Paru Dr. Ario Wirawan,3373042,Sudah kerjasama BPJS,Bedah Onko,RS Paru Dr. Ario Wirawan,Jawa Tengah,Kota Salatiga,1
RS Umum Pusat Dr. Soeradji Tirtonegoro,3310015,Sudah kerjasama BPJS,Bedah Onko,RS Umum Pusat Dr. Soeradji Tirtonegoro,Jawa Tengah,Klaten,1
RS Daerah KRMT Wongsonegoro,3374342,Sudah kerjasama BPJS,Bedah Onko,RS Daerah KRMT Wongsonegoro,Jawa Tengah,Kota Semarang,1
RS Umum Daerah Kraton Kab. Pekalongan,3326011,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Kraton Kab. Pekalongan,Jawa Tengah,Pekalongan,1
RS Umum Daerah Dr. M. Ashari Pemalang,3327010,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Dr. M. Ashari Pemalang,Jawa Tengah,Pemalang,1
RS Umum Daerah Cilacap,3301014,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Cilacap,Jawa Tengah,Cilacap,1
RS Umum Daerah dr. R. Goeteng Taroenadibrata,3303016,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah dr. R. Goeteng Taroenadibrata,Jawa Tengah,Purbalingga,1
RS Umum Daerah Tidar,3371014,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Tidar,Jawa Tengah,Kota Magelang,1
RS Umum Daerah Djojonegoro Temanggung,3323013,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Djojonegoro Temanggung,Jawa Tengah,Temanggung,1
RS Umum Daerah Dr. Tjitrowardojo Purworejo,3306012,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Dr. Tjitrowardojo Purworejo,Jawa Tengah,Purworejo,1
RS Umum Daerah dr. Soehadi Prijonegoro,3314012,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah dr. Soehadi Prijonegoro,Jawa Tengah,Sragen,1
RS Umum Daerah dr. Loekmono Hadi,3319010,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah dr. Loekmono Hadi,Jawa Tengah,Kudus,1
RS Umum Daerah Dr. R.Soedjati Soemodiardjo,3315013,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Dr. R.Soedjati Soemodiardjo,Jawa Tengah,Grobogan,1
RS Umum Daerah RAA Soewondo,3318016,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah RAA Soewondo,Jawa Tengah,Pati,1
RS Umum Daerah Tugurejo Semarang,3374134,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Tugurejo Semarang,Jawa Tengah,Kota Semarang,1
RS Umum Daerah Prof Dr. Margono Soekarjo,3302026,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Prof Dr. Margono Soekarjo,Jawa Tengah,Banyumas,1
RS Umum Daerah Dr. Moewardi Surakarta,3372015,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Dr. Moewardi Surakarta,Jawa Tengah,Kota Surakarta,1
RS Umum Wiradadi Husada,3302213,Sudah kerjasama BPJS,Bedah Onko,RS Umum Wiradadi Husada,Jawa Tengah,Banyumas,1
RS Umum Dr. Oen Solo Baru,3311224,Sudah kerjasama BPJS,Bedah Onko,RS Umum Dr. Oen Solo Baru,Jawa Tengah,Sukoharjo,1
RS Umum Indriati,3311229,Belum kerjasama BPJS,Bedah Onko,RS Umum Indriati,Jawa Tengah,Sukoharjo,0
RS Umum Islam Amal Sehat Sragen,3314056,Belum kerjasama BPJS,Bedah Onko,RS Umum Islam Amal Sehat Sragen,Jawa Tengah,Sragen,0
RS Umum Ken Saras,3322034,Belum kerjasama BPJS,Bedah Onko,RS Umum Ken Saras,Jawa Tengah,Semarang,0
RS Umum Islam Kustati,3372132,Belum kerjasama BPJS,Bedah Onko,RS Umum Islam Kustati,Jawa Tengah,Kota Surakarta,0
RS Umum Hermina Pandanaran,3374145,Belum kerjasama BPJS,Bedah Onko,RS Umum Hermina Pandanaran,Jawa Tengah,Kota Semarang,0
RS Umum Hermina Banyumanik Semarang,3374365,Belum kerjasama BPJS,Bedah Onko,RS Umum Hermina Banyumanik Semarang,Jawa Tengah,Kota Semarang,0
RS Khusus Bedah Columbia Asia Semarang,3374366,Belum kerjasama BPJS,Bedah Onko,RS Khusus Bedah Columbia Asia Semarang,Jawa Tengah,Kota Semarang,0
RS Umum Telogorejo Semarang,3374043,Belum kerjasama BPJS,Bedah Onko,RS Umum Telogorejo Semarang,Jawa Tengah,Kota Semarang,0
RS Umum St. Elisabeth Semarang,3374021,Belum kerjasama BPJS,Bedah Onko,RS Umum St. Elisabeth Semarang,Jawa Tengah,Kota Semarang,0
RS Umum Sultan Agung Semarang,3374076,Belum kerjasama BPJS,Bedah Onko,RS Umum Sultan Agung Semarang,Jawa Tengah,Kota Semarang,0
RS Umum Panti Wilasa Citarum,3374112,Belum kerjasama BPJS,Bedah Onko,RS Umum Panti Wilasa Citarum,Jawa Tengah,Kota Semarang,0
RS Umum Islam Harapan Anda,3376082,Belum kerjasama BPJS,Bedah Onko,RS Umum Islam Harapan Anda,Jawa Tengah,Kota Tegal,0
RS Umum PKU Muhamadiyah Gombong,3305066,Belum kerjasama BPJS,Bedah Onko,RS Umum PKU Muhamadiyah Gombong,Jawa Tengah,Kebumen,0
RS Umum Diponegoro Dua Satu Klaten,3310405,Belum kerjasama BPJS,Bedah Onko,RS Umum Diponegoro Dua Satu Klaten,Jawa Tengah,Klaten,0
RS Umum Dr. Oen,3372026,Belum kerjasama BPJS,Bedah Onko,RS Umum Dr. Oen,Jawa Tengah,Kota Surakarta,0
RS Umum Kasih Ibu,3372165,Belum kerjasama BPJS,Bedah Onko,RS Umum Kasih Ibu,Jawa Tengah,Kota Surakarta,0
RS PKU Muhammadiyah Surakarta,3372096,Belum kerjasama BPJS,Bedah Onko,RS PKU Muhammadiyah Surakarta,Jawa Tengah,Kota Surakarta,0
RS Umum Mardi Rahayu,3319032,Belum kerjasama BPJS,Bedah Onko,RS Umum Mardi Rahayu,Jawa Tengah,Kudus,0
RS Umum Keluarga Sehat,3318108,Belum kerjasama BPJS,Bedah Onko,RS Umum Keluarga Sehat ,Jawa Tengah,Pati,0
RS Umum Tk. II Dr. Soedjono,3371025,Sudah kerjasama BPJS,Bedah Onko,RS Umum Tk. II Dr. Soedjono,Jawa Tengah,Kota Magelang,1
RS Universitas Brawijaya,3573262,Sudah kerjasama BPJS,Bedah Onko,RS Universitas Brawijaya,Jawa Timur,Kota Malang,1
RS Universitas Airlangga,3578777,Sudah kerjasama BPJS,Bedah Onko,RS Universitas Airlangga ,Jawa Timur,Kota Surabaya,1
RS Umum Daerah Bhakti Dharma Husada,3578213,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Bhakti Dharma Husada,Jawa Timur,Kota Surabaya,1
RS Umum Daerah dr. Mohamad Soewandhie,3578571,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah dr. Mohamad Soewandhie,Jawa Timur,Kota Surabaya,1
RS Umum Daerah Ibnu Sina Kab. Gresik,3525010,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Ibnu Sina Kab. Gresik,Jawa Timur,Gresik,1
RS Umum Daerah Sidoarjo,3515015,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Sidoarjo,Jawa Timur,Sidoarjo,1
RS Umum Daerah Dr. Iskak Tulungagung,3504012,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Dr. Iskak Tulungagung,Jawa Timur,Tulungagung,1
RS Umum Daerah Nganjuk,3518011,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Nganjuk,Jawa Timur,Nganjuk,1
RSUD dr. Wahidin Sudiro Husodo Kota Mojokerto,3576014,Sudah kerjasama BPJS,Bedah Onko,RSUD dr. Wahidin Sudiro Husodo Kota Mojokerto,Jawa Timur,Kota Mojokerto,1
RS Umum Daerah Prof. Dr. Soekandar,3516020,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Prof. Dr. Soekandar,Jawa Timur,Mojokerto,1
RS Umum Daerah dr. Mohamad Saleh Kota Probolinggo,3574012,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah dr. Mohamad Saleh Kota Probolinggo,Jawa Timur,Kota Probolinggo,1
RS Umum Daerah Dr. Soebandi,3509010,Sudah kerjasama BPJS,Bedah Onko,RS Umum Daerah Dr. Soebandi,Jawa Timur,Jember,1
